title,description,url,publishedAt
WhatsApp Business could charge users for linking more than four devices - XDA Developers,WhatsApp Business could potentially start charging users who want to link more than four devices to the same account in a future update.,https://www.xda-developers.com/whatsapp-business-could-charge-users/,2022-04-21T12:10:00Z
Google Messages causing severe battery drain and overheating? Here’s a temporary fix - XDA Developers,A bug in Google Messages is causing severe battery drain and overheating on some devices. Here's a temporary fix while you wait for Google to push an update.,https://www.xda-developers.com/google-messages-bug-battery-drain-overheating-fix/,2022-04-21T11:35:00Z
"Redmi 10 Power with 6,000mAh Battery Launched in India: Check Price and Specs - The Quint","Redmi 10 Power Price in India: Redmi has launched its new smartphone Redmi 10 Power in India. The smartphone was launched along with Redmi 10A, on Wednesday, 20 April in India",https://www.thequint.com/tech-and-auto/gadgets/redmi-10-power-launch-date-price-in-india-specs-specifications,2022-04-21T11:23:09Z
"Alienware Doubles Down on AMD, Launches New Ryzen Laptops and Desktop - Gizmodo",The premium Alienware m15 R7 and m17 R5 highlight four new Ryzen-powered systems.,https://gizmodo.com/alienware-m15-r7-m17-r5-dell-g15-aurora-ryzen-editio-1848819822,2022-04-21T11:00:00Z
Apple MagSafe Battery Pack Will Now Charge Your iPhone Faster: Here’s How - News18,Apple is offering its new firmware update for the MagSafe accessory that promises to give you faster charging for the compatible iPhone models.,https://www.news18.com/news/tech/apple-magsafe-battery-pack-will-now-charge-your-iphone-faster-heres-how-5026621.html,2022-04-21T10:41:56Z
Google to kill call-recording apps on Play Store on May 11 - GSMArena.com news - GSMArena.com,System apps with native call-recording functionality remain unaffected.,https://www.gsmarena.com/google_to_kill_callrecording_apps_on_play_store_on_may_11-news-54039.php,2022-04-21T09:53:02Z
"OnePlus Nord 2T moniker confirmed, camera details leaked ahead of India launch - 91mobiles",The OnePlus Nord 2T India launch may take place soon as the moniker has been spotted on the TDRA certification. The OnePlus Nord 2T's camera details have also been leaked. Here are the expected specifications of the device.,https://www.91mobiles.com/hub/oneplus-nord-2t-moniker-confirmed-camera-details-leaked-ahead-of-india-launch/,2022-04-21T09:45:22Z
iPhones with full-screen display? Apple may introduce under-display camera and Face ID in 2024 - Economic Times,The iPhone 16 is likely to be the first Apple device to skip the camera notch.,https://economictimes.indiatimes.com/magazines/panache/iphones-with-full-screen-display-apple-may-introduce-under-display-camera-and-face-id-in-2024/articleshow/90978007.cms,2022-04-21T09:35:00Z
Garena Free Fire Max Codes For April 21: Here's How To Redeem Them For Free Rewards - ABP Live,Garena Free Fire Max redeem codes are 12-digit codes that are region-specific and can be used by players to gain an edge over rivals in every round of the battle royale game.,https://news.abplive.com/technology/garena-free-fire-max-redeem-codes-date-heres-how-to-get-redeem-free-rewards-codes-1527539,2022-04-21T09:30:28Z
"Realme Announces Narzo 50a Prime For Next Week, To Come Without Charger | Mint - Mint","We are still not sure that no-charger policy will be limited to Narzo 50A Prime or it will be extended to other Realme budget, mid-segment and premium phones",https://www.livemint.com/technology/realme-announces-narzo-50a-prime-for-next-week-to-come-without-charger-11650532243547.html,2022-04-21T09:14:26Z
This MacOS inspired new Windows 11 feature will let you view files without opening them - HT Tech,A new Windows 11 feature will finally let you preview files and quickly view the content before you open them. This feature was already available for MacOS users but finally it is coming to Windows 11 as well,https://tech.hindustantimes.com/tech/news/this-macos-inspired-new-windows-11-feature-will-let-you-view-files-without-opening-them-71650531863260.html,2022-04-21T09:10:28Z
10 best Minecraft Java Edition seeds for speedrunning in 2022 - Sportskeeda,A speedrun in Minecraft is a playthrough of the game to complete tasks as fast as possible.,https://www.sportskeeda.com/minecraft/10-best-minecraft-java-edition-seeds-speedrunning-2022,2022-04-21T08:57:50Z
NVIDIA AD102 GPU Flagships To Consume Insane Amounts of Power: Gaming GeForce RTX 4090 at 600W TBP & Workstation RTX L6000 at 375W TBP - Wccftech,NVIDIA's GeForce RTX 4090 Gaming & RTX L6000 Workstation graphics cards are rumored to feature TBPs of over 600W in reference flavors.,https://wccftech.com/nvidia-ad102-gpu-geforce-rtx-4090-600w-tbp-rtx-l6000-375w-tbp-graphics-card-rumor/,2022-04-21T08:31:35Z
"Best Laptop deals under 40000: From HP Chromebook to Samsung Galaxy Book Go, check options - HT Tech","Looking for the best Laptop deals under 40000? We have a few options for you from Samsung, HP, Asus, and Lenovo. Check here.",https://tech.hindustantimes.com/laptops-pc/news/best-laptop-deals-under-40000-from-hp-chromebook-to-samsung-galaxy-book-go-check-options-71650528627983.html,2022-04-21T08:18:37Z
Xiaomi Civi 1S arrives with a Snapdragon 778G+ chipset - GSMArena.com news - GSMArena.com,The rest of the specs remain exactly the same.,https://www.gsmarena.com/xiaomi_civi_1s_comes_with_a_snapdragon_778g-news-54038.php,2022-04-21T07:52:01Z
"Realme Pad Mini, Buds Q2s and smart TVs to launch in India on April 29 - Times of India",Realme is all set to launch a slew of products in India next week. The Chinese smartphone maker has already confirmed that it will launch Realme GT 2,https://timesofindia.indiatimes.com/gadgets-news/realme-pad-mini-buds-q2s-and-smart-tvs-to-launch-in-india-on-april-29/articleshow/90975490.cms,2022-04-21T07:33:00Z
"iPhone 14 Pro And iPhone 14 Pro Max May Get Faster Data Transfer Speed, But No USB-C Port - Watch - India.com",Apple may equip the iPhone 14 pro models with faster USB 3.0 speed. Watch video for more details.,https://www.india.com/video-gallery/iphone-14-pro-and-iphone-14-pro-max-may-get-faster-data-transfer-speed-but-no-usb-c-port-watch-5348925/,2022-04-21T05:41:00Z
"Massive iPhone 12, iPhone 12 mini price drop coming! Reason? iPhone 14 launch - HT Tech",Apple will reportedly roll out iPhone 12 and iPhone 12 mini price drop after iPhone 14 launch.,https://tech.hindustantimes.com/mobile/news/massive-iphone-12-iphone-12-mini-price-drop-coming-reason-iphone-14-launch-71650517244784.html,2022-04-21T05:05:15Z
Google's iPhone app for wirelessly switching to Android will be ready for Pixel owners in a few weeks - The Verge,"Google’s Switch to Android iOS app is starting to roll out, but it won’t be fully available in the App Store until Pixel devices have been updated with support for the feature. They’re the first Android phones to support it.",https://www.theverge.com/2022/4/20/23034459/switch-to-android-google-iphone-app,2022-04-21T03:59:39Z
Research shows how some apps keep tracking users despite new iOS privacy features - 9to5Mac,Some developers have figured out new ways to keep tracking iOS users even when they opt out of being tracked by third-party apps.,https://9to5mac.com/2022/04/20/research-shows-how-some-apps-keep-tracking-users-despite-new-ios-privacy-features/,2022-04-21T03:47:00Z
I tried Samsung’s Galaxy Book 2 Pro 360 for a week and here’s why it’s perfect for me - The Indian Express,"The responsive screen, S Pen compatibility, terrific keyboard and long battery life all make the Galaxy Book 2 Pro 360 closer to a perfect notebook, but my reason for getting excited about this device is its ultra-portability.",https://indianexpress.com/article/technology/tech-reviews/samsungs-galaxy-book-2-pro-360-review-7877552/,2022-04-21T03:45:22Z
Android users may soon get this new WhatsApp shortcut - Times of India,WhatsApp is also reportedly working on a new feature that will make it easier for you to message unsaved contacts. Currently when you tap on a phone n,https://timesofindia.indiatimes.com/gadgets-news/android-users-may-soon-get-this-new-whatsapp-shortcut/articleshow/90970477.cms,2022-04-21T03:23:00Z
Judge fines Apple for not including power brick in iPhone box - PhoneArena,"Apple was fined the equivalent of $1,081 in Brazil for selling a consumer an iPhone without including the power adapter in the box.",https://www.phonearena.com/news/brazilian-judge-says-apple-must-pay-for-not-including-charger-in-iphone-box_id139761,2022-04-20T23:53:13Z
HP Pavilion laptops powered by Intel Core processors launched - InfotechLead.com,"HP has launched its Pavilion laptops powered by 12th Gen Intel Core processors for a starting price of Rs 55,999.",https://infotechlead.com/devices/hp-pavilion-laptops-powered-by-intel-core-processors-launched-72189,2022-04-20T21:50:36Z
New Chrome Web Store badges will help you find the best browser extensions - Android Central,Only the highest-quality Chrome extensions for you.,https://www.androidcentral.com/apps-software/chrome-web-store-featured-established-publisher-badges,2022-04-20T21:29:36Z
Android 13 will bring a new gesture for enabling multi-window on apps - Gizchina.com,Google is working on a new gesture shortcut for Android 13 that will push apps' notifications into the multi-window mode.,https://www.gizchina.com/2022/04/20/android-13-will-bring-a-new-gesture-for-enabling-multi-window-on-apps/,2022-04-20T20:59:37Z
